,TF,TG,genie3_score,GRNBoost2_score,Average Score,Score difference
0,dmrt93B,CG14932,0.85471,0.3598291259555995,0.6072695629777998,0.24744043702220023
1,dmrt93B,Gr63a,0.84326,0.428673620980606,0.635966810490303,0.207293189509697
2,dmrt93B,CG14955,0.83637,0.2645292622515487,0.5504496311257743,0.2859203688742256
3,dmrt93B,Hsp70Aa,0.83425,0.3517883091260549,0.5930191545630275,0.24123084543697257
4,dmrt93B,Hsp70Bc,0.83026,0.34699197765594525,0.5886259888279726,0.24163401117202737
5,GATAe,PH4alphaPV,0.82495,0.24080847239490433,0.5328792361974521,0.2920707638025478
6,fkh,MRE23,0.82274,0.40866506411837944,0.6157025320591898,0.2070374679408103
7,shn,CG14471,0.81887,0.4117499197009136,0.6153099598504568,0.20356004014954318
8,dmrt93B,Hsp70Bbb,0.81283,0.2496037860279268,0.5312168930139635,0.28161310698603664
9,CG13510,CG13511,0.79432,0.5506397052320657,0.6724798526160329,0.12184014738396715
10,srp,CG30046,0.78697,0.3994442538520544,0.5932071269260272,0.19376287307397277
11,CG13510,Tsp29Fb,0.76413,0.29926322188964877,0.5316966109448243,0.2324333890551756
12,dmrt93B,Hsp70Ab,0.76267,0.35206834939570375,0.5573691746978519,0.2053008253021481
15,dmrt93B,Ucp4C,0.75777,0.3370968648720338,0.5474334324360169,0.21033656756398314
18,dmrt93B,fan,0.74611,0.3122229473528753,0.5291664736764377,0.21694352632356237
19,salm,salr,0.74189,0.5406940742792888,0.6412920371396444,0.1005979628603556
21,dmrt93B,Hsp26,0.73923,0.4289818532497277,0.5841059266248638,0.15512407337513617
22,dmrt93B,CG13138,0.72797,0.5883440416419448,0.6581570208209724,0.06981297917902762
23,kn,ap,0.7179,0.3303283483960602,0.5241141741980301,0.1937858258019699
25,GATAe,CG34236,0.70733,0.3445715117098046,0.5259507558549024,0.1813792441450977
26,sage,CG43083,0.70544,0.40514998403001184,0.5552949920150059,0.15014500798499406
27,dmrt93B,stv,0.70528,0.38390763582837756,0.5445938179141888,0.16068618208581123
28,bap,CG13227,0.70335,0.43902356578400414,0.5711867828920021,0.13216321710799794
32,CG30269,CG30273,0.69323,0.35231519968396363,0.5227725998419819,0.1704574001580182
36,Jra,CG14207,0.6848,0.5244291315771559,0.604614565788578,0.08018543421142205
39,tll,gcm2,0.68012,0.47492140270707134,0.5775207013535356,0.1025992986464643
41,GATAe,CG8952,0.67632,0.33488514948432835,0.5056025747421642,0.17071742525783584
53,CG3281,aur,0.66101,0.4095027709084128,0.5352563854542064,0.1257536145457936
82,Zif,jigr1,0.61072,0.4296111153818529,0.5201655576909265,0.09055444230907356
121,trh,Antp,0.56502,0.4367696089000026,0.5008948044500012,0.06412519554999868
