,TF,TG,Score
0,TFAM,exo70,83.32879739399895
1,Tsf2,CG9634,67.17595086838476
2,Atf-2,CG32815,66.30004059442248
3,her,CG8613,64.70538737026303
4,cnc,CG15099,61.24371107875654
5,ems,Hsp60,61.23283147925165
6,CG1024,vir,61.180284023878016
7,CG12219,wdn,61.0982989877721
8,MBD-like,CG9797,60.03189009717473
9,B-H2,so,59.88965554255244
10,onecut,Syt1,59.79618753126167
11,gcm2,gcm,59.63965778684262
12,CG7987,Su(var)3-7,59.545601391828
13,MTA1-like,Stat92E,59.18514781810072
14,dmrt93B,CG13138,58.83440416419448
15,polybromo,Spt6,58.70013923346688
16,srp,CG33460,58.49181174703254
17,CG2116,Vps4,58.48288116579304
18,TFAM,l(1)G0004,58.39437045972134
19,E5,pio,58.32079562658445
20,Usf,CG11807,58.297714229752025
21,CG11902,hrg,58.090666568831566
22,HmgZ,Tina-1,57.65238688825461
23,CG1529,CG17230,57.51563514801577
24,exd,UbcD2,57.501046973710096
25,CG10565,l(2)34Fd,57.49702124713629
26,Ssb-c31a,CG6697,57.463605760338304
27,MTA1-like,tral,57.40643224370989
28,CG6769,Prat,57.0424496747313
29,Aef1,CG5026,56.880180115958495
30,CG17385,betaTub56D,56.85617500801144
31,kay,CG6424,56.64111294658941
32,pita,CG11120,56.614987919245024
33,CG17385,CG3446,56.42262363720754
34,Myb,Adf1,56.41299750028595
35,CG1965,Rlip,56.31180842220871
36,emc,CG12025,56.19532046582927
37,Xbp1,Hsc70-3,56.14419618239933
38,sd,rictor,56.08801491620201
39,Su(var)2-10,CG30020,55.97989562144329
40,Aef1,CG2698,55.9287585811354
41,lola,bves,55.90137178094744
42,her,CG8379,55.68562431399042
43,CG11902,MED26,55.6825464861895
44,cg,yemalpha,55.68187175115509
45,crol,hop,55.22372728991506
46,ERR,Arp66B,55.168014674496376
47,CG13510,CG13511,55.06397052320658
48,awd,CG4692,54.89199141703601
49,Dad,CG8312,54.642573816988
50,CG32772,CG1427,54.52646964839844
51,E5,blow,54.50622203038738
52,CG10979,mRpL24,54.4650528218161
53,Ada2b,Lig4,54.3482386949588
54,CG4282,Ras85D,54.221376895621205
55,esg,CG11030,54.11314243355227
56,salm,salr,54.06940742792889
57,CG4282,CG1832,54.06883043295271
58,Zif,CG3287,53.98392579967179
59,CG9705,CG30349,53.90998770744143
60,CG9705,CG5515,53.74321553291304
61,Axud1,Smox,53.64974292616727
62,CG11398,CG7200,53.63515946460964
63,CG10979,Ephrin,53.62702892485598
64,sd,CG13366,53.542660798133966
65,Usf,Snx6,53.447208535621726
66,CG2116,CG4679,53.24064726548061
67,CG2116,Pp1alpha-96A,53.20442402866716
68,stc,Pk92B,52.94138395416731
69,CG15715,ben,52.90323434220193
70,E2f2,alien,52.86719658035229
71,crm,CG6695,52.8188984166901
72,D19A,XNP,52.81487916512504
73,chn,wech,52.73507933071528
74,CG1647,CG6325,52.72738326680614
75,Dsp1,homer,52.59734399259381
76,Jra,CG14207,52.44291315771559
77,tou,dom,52.41532407619112
78,MBD-like,E(z),52.409031813810245
79,CG11902,sced,52.36328869242239
80,CG2116,CG6766,52.34524427858881
81,Doc1,Doc2,52.25495526724886
82,Pbp95,Lon,52.208005896347935
83,ara,caup,52.19957312570241
84,crol,Exp6,52.05063348673952
85,bun,ref(2)P,52.020868293510325
86,CG11902,Pp2B-14D,51.94989419470438
87,B-H1,B-H2,51.82776944868383
88,E(var)3-9,CG7544,51.763327935624616
89,Stat92E,Usp7,51.74287057592891
90,CG17359,CG13601,51.723434163129575
91,Camta,CG14023,51.66780334830605
92,p53,Saf6,51.63925679177629
93,CG17385,mRpL45,51.62816183860926
94,CG10979,Spt6,51.54810066565662
95,shn,trx,51.53942971342744
96,Xbp1,Past1,51.51226255507584
97,CG18764,Taf12,51.39296952050827
98,cic,CG14023,51.37395425679503
99,CG7556,Osbp,51.29031648677732
100,CG6254,CG8924,51.226948472796586
101,TFAM,CG14671,51.18439033664362
102,CG2129,CG3894,51.13731531690858
103,CG1233,CG10747,51.11051945836355
104,CG9705,CG4282,51.02232550926246
105,CG31365,SMC2,51.02088655072865
106,l(2)37Cc,CG6937,51.01780955320803
107,Opbp,PGRP-LE,50.96168817773143
108,Usf,CG4848,50.822526628975886
109,CG5846,CG3630,50.67802923158836
110,TFAM,Alr,50.62872130477028
111,caup,ara,50.55547752328305
112,Dp,Rlip,50.55155240688877
113,CG10631,Su(var)2-HP2,50.540682419259696
114,Mef2,Ect4,50.52390060390067
115,CG6689,Irp-1A,50.498599385490536
116,MTF-1,inaE,50.48388304830065
117,Stat92E,ari-1,50.466622622955136
118,Su(var)2-10,CG8290,50.40941070867797
119,l(3)neo38,Dab,50.38573778550189
120,crol,G9a,50.37311459431443
121,polybromo,CG8944,50.35328807993469
122,CG31224,Sec16,50.318679601303096
123,Jarid2,Bsg25D,50.31483742121064
124,eyg,CG6287,50.30603320805356
125,so,fw,50.290511338815456
126,CG4730,rod,50.27734634584533
127,Camta,rno,50.2582187133687
128,CG6769,Ak6,50.23954543799179
129,ci,CG42748,50.22843577410397
130,Tusp,CG6765,50.224971810973145
131,ATbp,BCL7-like,50.20734306065972
132,TFAM,Nup58,50.18557380813743
133,CG2116,CG3887,50.17797069023291
134,CG8478,barr,50.17578769813312
135,Dref,CG6707,50.11284907855883
136,Xbp1,CG5382,50.10873269022255
137,CG2199,Mkk4,50.01040252050341
